country,emb_0,emb_1,emb_2,emb_3
XI,2.571205489717194,0.23581024736274078,0.22798395094534574,0.16126927021986812
XJ,-0.9218753661008496,-0.3970414380654969,-0.15631261571148622,-0.7100719229747323
XK,0.09819172687275028,-0.5203371748102815,-0.9108621979825824,0.2767159091555117
XL,2.725525265464623,0.290559805297429,0.3229419535001819,0.16693108162870926
XM,3.2595773978285343,0.5096113234954677,0.6434867103699617,0.03939351354856922
XN,1.3558924092718845,-0.10090124656774532,-0.4891760888733745,0.07718880386727826
XO,0.5625308435620774,-0.2512313753749692,-0.28060970772659655,-0.07366662406470885
XP,0.3369197154622654,-0.30325956350258293,-0.3935865792941048,-0.0906486737686563
XQ,0.29436452418646875,-0.36578174023656335,-0.7306178109839178,-0.08940844318546036
XT,-0.5385587748420879,-0.3974577921116373,-0.37311455131255755,-0.3218070439827526
XU,-2.1299428121921102,-0.1865110065222356,1.026807659497992,0.5195568715216913
Z4,-0.4261323251495949,-0.3874021013163256,-0.33009433527409493,-0.09771977496070842
Z7,-1.5416924398449592,-0.39110105751722435,0.16581928806532062,0.15351049925202961
ZA,-0.6042782443867527,-0.48214240424092764,-0.4393124227111345,-0.07503044359977996
ZF,2.489298689160361,0.3399689413392623,0.6732342771027765,-0.09111904961154506
ZG,2.581732971383217,0.3465080674345606,0.6237679379550164,-0.031148826289924172
ZH,2.540552571448376,0.2502700402512418,0.5669276802102432,0.23574450338164074
ZI,2.568448235729934,0.4560747426362926,0.7056352820833552,-0.3972496211488441
ZJ,-0.903442401727655,-0.3714569835222933,-0.1253172858702057,-0.7297478847911568
ZM,1.138086548865849,-0.1459480955362101,0.020147849425382506,0.4824130620976257
ZQ,0.41418954029088595,-0.297356893994604,-0.11896176180094353,-0.23676325297774983
ZT,0.5270809650781121,-0.2569699178327702,-0.253074611327165,-0.05746530967099819
ZW,1.6958840646544753,0.017776654112948178,-0.1580444872773941,0.5815490502253486
CU,-1.043768691993786,-0.4646808398673084,-0.34652921583876656,-0.6239590233005197
IM,-0.5219442657552924,-0.5700404688365818,-0.6661231721731183,0.19933196659159816
JG,-0.18484814709478745,-0.3071567676433363,-1.1413753034377552,0.8723871024931378
LI,-0.3087957758342533,-0.8445226022534541,-1.7902264388856133,1.7186867912298767
NC,-0.7244153049898622,-0.5332795016371946,-0.367083243609396,-0.3455993950059387
PF,-0.5800000367954611,-0.5067258203609274,-0.4767475547550243,-0.17270817620884474
SS,3.751109408581445,0.6783974888123518,1.782899334286722,1.0814617034257066
YE,2.435975205121099,0.32907069090313096,0.2896427849172214,0.21033998299535558
AS,-0.7788375654607014,-0.21900790696479003,-0.09418422661525175,-0.980544955322898
ER,1.8763983106165394,0.11707368742978502,0.7051251470628991,0.6164823562377227
GI,-1.6762189088537967,1.4276842983607856,-0.6301077118182327,-1.4049401213578732
GU,-1.0060135588145718,-0.14947241732720357,0.08115372592389011,-1.36009862722643
KP,0.5032332808715565,0.11624445935422667,0.46602588899637093,0.07350986508697523
MC,-3.69141897777371,8.82738541073507,-3.966491628038568,-0.9060343839382963
MF,-1.149577433787333,0.07025926445168246,0.12407048540926183,-1.561809089298442
MP,-0.9425432671563619,-0.2611435841098587,0.06956515474625044,-1.2753526840558524
VE,-0.8654755798075,-0.30250250144545066,0.05662950011937361,-1.1960204752509804
VG,-0.028096246163607654,-0.33687651522733997,-0.542048724227337,0.026907863535236446
