iso3,emb_0,emb_1,emb_2
HK,-3.1514298739026496,3.4099302461269043,0.02635001153718852
HN,0.950010455821507,-0.1503530227560306,-0.1322961270208094
HR,-1.0515736283748434,-0.4828747210041055,-0.34360433939560153
HT,1.6679380752958253,0.38044560954508855,0.04492468826921712
HU,-1.30726499390884,-0.36518321909350904,-0.009897517526024547
ID,0.09617632890882029,-0.31207363725828086,-0.718374361968161
IE,-2.910220741774636,-0.1820065478720864,1.0298085382785611
IL,-1.9160783856030172,-0.07573803567940676,0.6018545605750206
IN,1.1245421323796612,-0.0888897337816631,-0.966817652730791
IQ,-0.6563701799724047,-0.455925772448082,-0.37840543954680284
IR,-0.345905316546546,-0.27208611375588415,-0.1443902067999208
IS,-2.4146429444671216,-0.15608134707838534,0.9667999447097612
IT,-1.5880063895034315,-0.2580658642141258,0.31441295837524585
JM,-0.08209902698117776,-0.35708317475638784,-0.631271213223603
JO,-0.9472534560330219,-0.356111150743717,-0.11211998695792215
JP,-1.9804903557144742,-0.12802592291889464,0.5803422556095087
KE,2.0117556152319476,0.06380873398610966,-0.40566708863001955
KG,0.581228743119234,-0.5311404178286975,-1.2294038803572291
KH,1.861252533723175,-0.0061976139036678925,-0.2307500003929174
KI,1.1939443722187324,0.021216058919667484,-0.7098866920908096
KM,2.6770152945895385,0.42320226828034685,-0.5581134183750562
KN,-0.8402747784676595,-0.6882484212224925,-1.1387195511719541
KR,-1.8012391462912132,-0.025624527967218265,0.5234887490703206
KW,-2.211801110452012,-0.06763071325070555,1.0578446378072923
KY,-2.4547380257760523,0.14971246628218035,1.7588798367363472
KZ,-0.8127249424080073,-0.4321537784360166,-0.18851981833044384
LA,1.330334332816318,-0.2468316648531434,-0.6539321818740631
LB,-0.6591908016211265,-0.0020312868753456807,0.3029529199805957
LC,0.0005979173294959207,-0.5589803016018633,-1.0548622773526999
LK,0.48163392992137594,-0.4765098365959025,-1.364350129384388
LR,3.9227345874905524,1.0255713081599256,1.2943399089326237
LS,1.8439914131050545,0.016666134977461295,0.34534699796985646
LT,-1.4204122174808136,-0.3942878621822171,0.029728632562285074
LU,-3.724217746365331,0.39112763523016497,2.8153586476035226
LV,-1.3072226667938796,-0.4445790964609172,-0.16477257237711387
LY,-0.45067489034215896,-0.15692087088242637,0.5203433589712012
MA,0.16003839335407447,-0.3273151026528622,-0.504146300931441
MD,0.11041386516401354,-0.4877311743948662,-1.047022011541453
ME,-0.7296689589981213,-0.4369465521151692,-0.25420787555063556
MG,3.636138293993581,0.5994764854361035,0.7918055962681816
MH,0.11765401080055071,-0.06846001905689372,-0.4089395701270298
MK,-0.27619584024759186,-0.337674090631726,-0.28987907989767503
ML,3.7006127747582815,0.5875758593641365,0.42455981299327433
MM,2.1760472239973576,0.10180010100221418,-0.40390784777012895
MN,-0.18217859231525133,-0.2977916928528515,-0.3469256188659439
MO,-4.388802845009795,10.85487209587592,-1.1220228291025922
MR,2.68179344710027,0.5402310639351564,1.1107263211991458
MT,-2.246060062647093,0.5478724569035677,0.6706142571228403
MU,-0.36931652714167057,-0.2836436910142989,-0.8133027129200894
MV,0.14582806740361542,0.33821687364814773,-0.754706123280287
MW,4.151605029921821,0.7506720391051795,0.7920907676185401
MX,-1.181660902144009,-0.4461297249058505,-0.22019433946968728
MY,-0.5714367122980545,-0.15555688922990046,0.3120624043309348
MZ,3.659023059425414,0.6470299331639383,0.8582859268592431
NA,1.0863594265800913,-0.05808193680333346,0.20853167370712278
NE,5.00831556143162,0.9731571867362502,0.9881099186102227
NG,2.356921719593408,0.5996981755488018,0.8149335657377997
NI,0.5739210011201853,-0.18522471437663734,-0.465854635869139
NL,-2.771009712396606,0.023556323926960727,0.8173358398056125
NO,-2.821961532118976,-0.11092459197301895,1.3213116648590513
NP,0.978127360368374,0.08385962658123804,-0.3282356550737535
NR,-0.9603029717109919,0.012150116148053263,0.10937210098795457
NZ,-1.8945540455292413,-0.2893036581534484,0.35443929338816127
OE,-1.90625551291861,-0.3174283169852764,0.49066226317902467
OM,-1.527594374499739,-0.3613502791119242,0.3011695841783353
PA,-0.6221821227314773,-0.2830405557133866,0.285014445759114
PE,-0.8618191979871719,-0.3628754594686128,-0.18249872957359017
PG,3.6093976785809376,0.4427884712841119,0.6151576833265033
PH,0.2585607217863243,-0.21660144646909868,-0.6700824363411876
PK,2.1179731591043556,0.14929502991646687,-0.30839788987103195
PL,-1.3051036348767127,-0.45426437992763385,-0.2826442572558142
PR,-1.820483367450089,-0.08028280974377384,0.6890133285674357
PS,-0.7088889389120555,-0.02197759399029631,-0.40742111987255253
PT,-1.5263343818481914,-0.4987847776537137,-0.35331563110944303
PW,-1.4409169215175368,-0.5518424918102514,-0.4916438859994031
PY,-0.11412985822339827,-0.3333384680158739,-0.32487462278812435
